"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "Year"
"76" 36700 68200 80100 73500 204000 16300 12000 31100 47300 114000 24700 37300 23700 39100 483000 69800 19400 42000 58700 55100 11200 21700 24500 35400 26900 50900 102000 2010
"77" 70000 96600 108000 62900 211000 27500 14400 26300 50800 80000 35800 41800 32400 50900 644000 76000 24400 57100 93600 87800 26200 26600 47000 42900 63200 132000 268000 2011
"78" 35600 56900 66500 64800 144000 18900 12000 21900 37300 69900 35700 37000 30100 46800 431000 43700 24500 44100 46500 44000 9170 13300 22000 33000 33900 55800 98500 2012
"79" 43400 62400 68600 54300 152000 15700 10900 54700 65800 108000 20000 20000 20500 26800 449000 43700 39300 80000 127000 120000 20600 32500 58500 31000 25800 80900 194000 2013
"80" 51400 79600 81900 53200 146000 18900 14600 14200 26700 70400 37700 39200 40700 54900 455000 44300 20800 49200 51300 50800 10900 23200 40500 52500 45500 91200 144000 2014
"81" 37100 51200 62200 85200 150000 23000 13200 42100 48900 102000 33100 30500 22200 33200 706000 50200 35100 68200 74900 71600 12000 21300 30600 33500 40300 70500 127000 2015
"82" 49800 68100 71600 43800 106000 16400 10200 23900 37500 99800 26400 28200 29700 43700 416000 47200 19400 51300 102000 98300 37300 20000 34300 33900 36300 75700 175000 2016
"83" 70800 103000 117000 91900 151000 25000 11000 40800 60300 84300 25000 34100 20500 32900 392000 40500 22500 46400 74000 73500 31500 27400 56000 35600 36300 90300 2e+05 2017
"84" 45300 71200 103000 106000 238000 22700 13000 39800 44200 108000 42700 45000 37500 54300 712000 48000 25000 65000 99000 86900 21100 23400 54400 37700 50000 90600 187000 2018
"85" 44700 71900 83600 53600 165000 24600 13000 46700 88000 109000 38200 48400 33600 49300 683000 57100 21800 37200 45700 45900 11700 18900 45600 45300 54400 93600 163000 2019
"86" 37600 51600 62200 68200 132000 18000 14500 62900 95200 104000 42400 44400 24500 52300 638000 44400 20100 36300 50200 47900 24800 20400 43200 36700 39100 80300 155000 2020
"87" 46800 62100 59100 83300 181000 15000 9960 45900 53800 93600 24500 34000 22000 28200 720000 52300 19900 32700 34600 38800 9830 13700 29500 36600 27100 49300 93500 2021
